attempt,event_sequence,phase,source_event_exchange_time_ms,current_bid,current_ask,bbo_lookback_ms,recent_bbo_count,last_bbo_change_ms,touch_stability_ms,bbo_down_count,bbo_up_count,bbo_flat_count,bbo_mixed_count,last_direction,status
2,1734,pre_open_orders_public_gate,1784189269450,64146.0,64147.0,750,1,1784189269090,360,1,0,0,0,down,pass
2,1734,post_open_orders_pre_submit_gate,1784189269450,64145.0,64146.0,750,1,1784189269090,360,1,0,0,0,down,pass
2,1737,pre_open_orders_public_gate,1784189269918,64145.0,64146.0,750,1,1784189269653,265,1,0,0,0,down,block
2,1738,pre_open_orders_public_gate,1784189270052,64145.0,64146.0,750,1,1784189269653,399,1,0,0,0,down,block
2,1847,pre_open_orders_public_gate,1784189304144,64142.0,64143.0,750,1,1784189303798,346,1,0,0,0,down,pass
2,1847,post_open_orders_pre_submit_gate,1784189304144,64142.0,64143.0,750,1,1784189303798,346,1,0,0,0,down,pass
2,1870,pre_open_orders_public_gate,1784189312114,64134.0,64135.0,750,1,1784189311861,253,0,0,1,0,flat,pass
2,1870,post_open_orders_pre_submit_gate,1784189312114,64132.0,64133.0,750,1,1784189311861,253,0,0,1,0,flat,pass
2,1872,pre_open_orders_public_gate,1784189312731,64132.0,64133.0,750,1,1784189312375,356,1,0,0,0,down,block
2,2062,pre_open_orders_public_gate,1784189367252,64130.0,64135.0,750,1,1784189366916,336,1,0,0,0,down,pass
2,2062,post_open_orders_pre_submit_gate,1784189367252,64124.0,64125.0,750,1,1784189366916,336,1,0,0,0,down,pass
2,2190,pre_open_orders_public_gate,1784189404249,64122.0,64123.0,750,1,1784189403779,470,1,0,0,0,down,pass
2,2190,post_open_orders_pre_submit_gate,1784189404249,64119.0,64120.0,750,1,1784189403779,470,1,0,0,0,down,pass
2,2192,pre_open_orders_public_gate,1784189404599,64119.0,64120.0,750,1,1784189404328,271,1,0,0,0,down,block
2,2193,pre_open_orders_public_gate,1784189404732,64119.0,64120.0,750,1,1784189404328,404,1,0,0,0,down,block
2,2239,pre_open_orders_public_gate,1784189415526,64102.0,64103.0,750,1,1784189415036,490,1,0,0,0,down,block
