schema_version,task_id,sample_sequence,monotonic_ns,audit_utc_ns,server_time_ms,best_bid,best_ask,mid_price
skhynix_c6in_latency_v2,0822T002,1363,563463719713167,1787423187407024723,1787423187134,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1364,563464224684674,1787423187911995816,1787423187671,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1365,563464764422014,1787423188451733387,1787423188206,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1366,563465292764556,1787423188980076472,1787423188749,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1367,563465900575586,1787423189587887398,1787423189296,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1368,563466479166524,1787423190166477278,1787423189860,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1369,563466991243331,1787423190678554369,1787423190435,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1370,563467511914097,1787423191199225587,1787423190960,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1371,563468072863218,1787423191760174729,1787423191522,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1372,563468678446374,1787423192365758364,1787423192055,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1373,563469197295591,1787423192884606282,1787423192592,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1374,563469722113319,1787423193409424673,1787423193146,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1375,563470262097881,1787423193949409914,1787423193705,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1376,563470796937789,1787423194484248757,1787423194240,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1377,563471518400163,1787423195205711561,1787423194767,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1378,563471861246435,1787423195548557538,1787423195310,1244.8,1244.9,1244.85
skhynix_c6in_latency_v2,0822T002,1379,563472412713149,1787423196100023981,1787423195839,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1380,563472969005416,1787423196656317175,1787423196389,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1381,563473488652384,1787423197175963886,1787423196942,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1382,563474014040117,1787423197701351146,1787423197446,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1383,563474578796740,1787423198266108321,1787423197999,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1384,563475107362281,1787423198794673280,1787423198549,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1385,563475631148363,1787423199318459927,1787423199063,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1386,563476153535949,1787423199840847316,1787423199605,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1387,563476709667504,1787423200396978380,1787423200158,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1388,563477319899976,1787423201007212015,1787423200765,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1389,563477960679693,1787423201647991112,1787423201386,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1390,563478488501434,1787423202175812783,1787423201900,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1391,563479035157390,1787423202722468089,1787423202472,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1392,563479738909935,1787423203426221096,1787423203078,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1393,563480263006282,1787423203950316966,1787423203689,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1394,563480857233056,1787423204544543758,1787423204293,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1395,563481602378694,1787423205289690213,1787423204894,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1396,563481944164081,1787423205631475249,1787423205385,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1397,563482482785903,1787423206170096790,1787423205925,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1398,563483002258214,1787423206689569288,1787423206446,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1399,563483569035604,1787423207256346381,1787423206999,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1400,563484102461584,1787423207789773140,1787423207535,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1401,563484609335079,1787423208296645874,1787423208054,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1402,563485193288959,1787423208880600198,1787423208610,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1403,563485712342295,1787423209399653196,1787423209147,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1404,563486215234399,1787423209902545846,1787423209667,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1405,563486840930044,1787423210528241237,1787423210271,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1406,563487380529053,1787423211067840888,1787423210786,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1407,563487926603736,1787423211613913573,1787423211356,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1408,563488478665821,1787423212165976524,1787423211898,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1409,563489009583669,1787423212696894476,1787423212444,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1410,563489554313904,1787423213241625513,1787423212980,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1411,563490057208807,1787423213744520287,1787423213489,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1412,563490689889390,1787423214377200792,1787423214093,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1413,563491098741265,1787423214786052097,1787423214535,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1414,563491700139792,1787423215387451328,1787423215055,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1415,563492162400128,1787423215849711418,1787423215603,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1416,563492728964677,1787423216416275645,1787423216134,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1417,563493206455274,1787423216893766808,1787423216669,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1418,563493757108811,1787423217444420448,1787423217208,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1419,563494318197395,1787423218005508075,1787423217749,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1420,563494834872624,1787423218522182905,1787423218285,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1421,563495366172105,1787423219053482950,1787423218821,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1422,563495972681022,1787423219659991561,1787423219368,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1423,563496701152187,1787423220388462718,1787423219904,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1424,563497026958885,1787423220714268839,1787423220454,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1425,563497558862208,1787423221246172949,1787423220983,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1426,563498088102545,1787423221775413598,1787423221526,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1427,563498710788836,1787423222398100117,1787423222131,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1428,563499161541522,1787423222848851674,1787423222596,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1429,563499719614802,1787423223406925938,1787423223131,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1430,563500223252742,1787423223910563263,1787423223669,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1431,563500768615533,1787423224455926822,1787423224204,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1432,563501334070425,1787423225021382046,1787423224742,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1433,563501889412513,1787423225576723608,1787423225271,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1434,563502370561147,1787423226057872401,1787423225811,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1435,563502903366216,1787423226590676764,1787423226347,1244.7,1244.8,1244.75
skhynix_c6in_latency_v2,0822T002,1436,563503446194465,1787423227133506174,1787423226886,1244.7,1244.8,1244.75
