schema_version,task_id,sample_sequence,monotonic_ns,audit_utc_ns,server_time_ms,best_bid,best_ask,mid_price
skhynix_c6in_latency_v2,0822T002,1263,591174125355345,1787450897812665205,1787450897575,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1264,591174684240191,1787450898371551216,1787450898109,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1265,591175248420824,1787450898935732097,1787450898645,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1266,591175756143951,1787450899443455746,1787450899209,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1267,591176330570653,1787450900017881686,1787450899747,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1268,591176846908720,1787450900534219157,1787450900285,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1269,591177388320335,1787450901075631086,1787450900820,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1270,591177908946539,1787450901596257478,1787450901352,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1271,591178607709584,1787450902295020775,1787450901957,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1272,591179130535951,1787450902817846270,1787450902562,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1273,591179774197678,1787450903461508252,1787450903174,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1274,591180254606173,1787450903941918994,1787450903704,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1275,591180803021210,1787450904490333961,1787450904230,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1276,591181399152334,1787450905086463611,1787450904788,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1277,591181922200555,1787450905609510844,1787450905300,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1278,591182455874191,1787450906143185331,1787450905850,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1279,591182953127725,1787450906640437619,1787450906399,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1280,591183660235141,1787450907347546779,1787450906942,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1281,591184072994520,1787450907760305045,1787450907467,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1282,591184685235001,1787450908372546228,1787450908095,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1283,591185145784333,1787450908833095242,1787450908579,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1284,591185700298076,1787450909387608602,1787450909101,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1285,591186195396017,1787450909882707472,1787450909640,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1286,591186770915337,1787450910458226097,1787450910177,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1287,591187274965340,1787450910962276849,1787450910711,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1288,591187836714385,1787450911524025836,1787450911247,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1289,591188325436870,1787450912012747444,1787450911790,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1290,591188905560378,1787450912592871907,1787450912307,1251.1,1251.3,1251.2
skhynix_c6in_latency_v2,0822T002,1291,591189351334044,1787450913038645523,1787450912812,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1292,591189959290411,1787450913646601508,1787450913377,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1293,591190473864603,1787450914161175560,1787450913913,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1294,591191008031632,1787450914695343264,1787450914431,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1295,591191555309898,1787450915242620841,1787450914986,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1296,591192122698815,1787450915810010211,1787450915526,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1297,591192701047824,1787450916388359549,1787450916134,1251.1,1251.3,1251.2
skhynix_c6in_latency_v2,0822T002,1298,591193206114952,1787450916893426330,1787450916656,1251.1,1251.3,1251.2
skhynix_c6in_latency_v2,0822T002,1299,591193830880232,1787450917518191797,1787450917163,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1300,591194258523759,1787450917945835101,1787450917672,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1301,591194794202863,1787450918481513998,1787450918214,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1302,591195344527949,1787450919031840201,1787450918753,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1303,591195856589987,1787450919543900598,1787450919297,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1304,591196395756309,1787450920083067263,1787450919832,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1305,591196947592250,1787450920634902668,1787450920391,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1306,591197496663004,1787450921183974445,1787450920917,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1307,591198008915021,1787450921696226136,1787450921464,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1308,591198844379300,1787450922531690001,1787450922057,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1309,591199083493530,1787450922770803716,1787450922522,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1310,591199662358275,1787450923349669210,1787450923061,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1311,591200159267117,1787450923846578350,1787450923601,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1312,591200714024001,1787450924401335136,1787450924136,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1313,591201259830225,1787450924947142020,1787450924689,1251.1,1251.3,1251.2
skhynix_c6in_latency_v2,0822T002,1314,591201776676355,1787450925463988020,1787450925217,1251.1,1251.3,1251.2
skhynix_c6in_latency_v2,0822T002,1315,591202281440512,1787450925968752907,1787450925756,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1316,591202909672458,1787450926596983763,1787450926284,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1317,591203406164061,1787450927093475394,1787450926840,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1318,591203981575203,1787450927668884882,1787450927386,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1319,591204504908790,1787450928192220119,1787450927936,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1320,591205078228982,1787450928765540050,1787450928473,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1321,591205635398040,1787450929322709235,1787450929006,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1322,591206069940526,1787450929757251258,1787450929525,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1323,591206744328202,1787450930431639053,1787450930141,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1324,591207181087025,1787450930868396203,1787450930611,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1325,591207701463830,1787450931388774581,1787450931145,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1326,591208260780846,1787450931948092098,1787450931679,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1327,591208877423651,1787450932564734990,1787450932218,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1328,591209291805372,1787450932979116854,1787450932754,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1329,591209881823949,1787450933569135150,1787450933294,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1330,591210430820544,1787450934118132501,1787450933832,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1331,591210907252257,1787450934594562900,1787450934370,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1332,591211445937537,1787450935133249716,1787450934912,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1333,591212053305450,1787450935740616756,1787450935469,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1334,591212640781344,1787450936328092578,1787450936072,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1335,591213094096468,1787450936781407736,1787450936541,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1336,591213664217639,1787450937351528588,1787450937050,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1337,591214074667380,1787450937761978266,1787450937551,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,1338,591214665230119,1787450938352541054,1787450938090,1251.1,1251.2,1251.15
